FK-ListOfOptions;Expert Note;laymanTranslation;Keywords;Gemeinnützig boolean;filter;;;;;;;;;;;;;;;;;;;;
"Zur Förderung der Tier- bzw. Pflanzenzucht gehört auch die Förderung der Erhaltung von Aussterben bedrohter Nutztierrassen und Nutzpflanzen.

Obst- und Gartenbauvereine fördern i. d. R. die Pflanzenzucht im Sinne des § 52 Abs. 2 Nr. 23.";"Ein wesentliches Element des Sports (§ 52 Abs. 2 Nr. 21) ist die körperliche Ertüchtigung. Motorsport fällt unter den Begriff des Sports (BFH-Urteil vom 29. 10. 1997 – IR 13/97 BStBl. II 1998 S. 9), ebenso Ballonfahren. Dagegen sind Skat (BFH-Urteil vom 17. 2. 2000 – I R 108, 109/98 – BFH/NV S. 1071), Bridge, Gospiel, Gotcha, Paintball, und Tipp-Kik kein Sport im Sinne des Gemeinnützigkeitsrechts. Dies gilt auch für Amateurfunk, Modellflug und Hundesport, die jedoch eigenständige gemeinnützige Zwecke sind (§ 52 Abs. 2 Nr. 23). Schützenvereine können auch dann als gemeinnützig anerkannt werden, wenn sie nach ihrer Satzung neben dem Schießsport (als Hauptzweck) auch das Schützenbrauchtum (vgl. Nr. 11) fördern. Die Durchführung von volksfestartigen Schützenfesten ist kein gemeinnütziger Zweck.

Die Förderung des bezahlten Sports ist kein gemeinnütziger Zweck, weil dadurch eigenwirtschaftliche Zwecke der bezahlten Sportler gefördert werden. Sie ist aber unter bestimmten Voraussetzungen unschädlich für die Gemeinnützigkeit eines Sportvereins (s. §§ 58 Nr. 9 und 67 a)

Die Förderung von Freizeitaktivitäten außerhalb des Bereichs des Sports ist nur dann als Förderung der Allgemeinheit anzuerkennen, wenn die Freizeitaktivitäten hinsichtlich der Merkmale, die ihre steuerrechtliche Förderung rechtfertigen, mit den im Katalog des § 52 Abs. 2 Nr. 4 genannten Freizeitgestaltungen identisch sind. Es reicht nicht aus, dass die Freizeitgestaltung sinnvoll und einer der in § 52 Abs. 2 Nr. 23 genannten ähnlich ist (BFH-Urteil vom 14. 9. 1994 – IR 153/93 – BStBl. II 1995 S. 499). Die Förderung des Baus und Betriebs von Schiffs-, Auto-, Eisenbahn- und Drachenflugmodellen ist identisch im vorstehenden Sinne mit der Förderung des Modellflugs, die Förderung des CB-Funkens mit der Förderung des Amateurfunkens. Diese Zwecke sind deshalb als gemeinnützig anzuerkennen. Nicht identisch im vorstehenden Sinne mit den in § 52 Abs. 2 Nr. 23 genannten Freizeitaktivitäten und deshalb nicht als eigenständige gemeinnützige Zwecke anzuerkennen sind z. B. die Förderung des Amateurfilmens und -fotografierens, des Kochens, von Brett- und Kartenspielen und des Sammelns von Gegenständen, wie Briefmarken, Münzen und Autogrammkarten, sowie die Tätigkeit von Reise- und Touristik-, Sauna-, Geselligkeits-, Kosmetik-, und Oldtimer-Vereinen. Bei Vereinen, die das Amateurfilmen und -fotografieren fördern, und bei Oldtimer-Vereinen kann aber eine Steuerbegünstigung wegen der Förderung von Kunst oder (technischer) Kultur in Betracht kommen.";;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Heimatpflege und Heimatkunde;";;;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die Förderung der Tierzucht, der Pflanzenzucht, der Kleingärtnerei, des traditionellen Brauchtums einschließlich des Karnevals, der Fastnacht und des Faschings, der Soldaten- und Reservistenbetreuung, des Amateurfunkens, des Modellflugs und des Hundesports;";"Zur Förderung der Tier- bzw. Pflanzenzucht gehört auch die Förderung der Erhaltung von Aussterben bedrohter Nutztierrassen und Nutzpflanzen.


Die Förderung der Bonsaikunst ist Pflanzenzucht, die Förderung der Aquarien- und Terrarienkunde ist Tierzucht im Sinne der Vorschrift.

Historische Schützenbruderschaften können wegen der Förderung der Brauchtumspflege (vgl. Nr. 6), Freizeitwinzerverine wegen der Förderung der Heimatpflege, die Teil der Brauchtumspflege ist, als gemeinnützig behandelt werden. Dies gilt auch für Junggesellen- und Burschenvereine, die das traditionelle Brauchtum einer bestimmten Region fördern, z. B. durch das Setzen von Maibäumen (Maiclubs).

Die besondere Nennung des traditionellen Brauchtums als gemeinnütziger Zweck in § 52 Abs. 2 Nr. 23 bedeutet jedoch keine allgemeine Ausweitung des Brauchtumsbegriffs i. S. des Gemeinnützigkeitsrechts. Studentische Verbindungen, z. B. Burschenschaften, ähnliche Vereinigungen, z. B. Landjugendvereine, Country- und Westernvereine und Vereine, deren Hauptzweck die Veranstaltung von örtlichen Volksfsten (z. B. Kirmes, Kärwa, Schützenfest) ist, sind deshalb i. d. R. nach wie vor nicht gemeinnützig.

Soldaten- und Reservistenvereine verfolgen i. d. R. gemeinnützige Zwecke i. S. des § 52 Abs. 2 Nr. 23, wenn sie aktive und ehemalige Wehrdienstleistende, Zeit- und Berufssoldaten betreuen, z. B. über dem Soldatsein zusammenhängende Fragen beraten, Möglichkeiten zu sinnvoller Freizeitgestaltung bieten oder beim Übergang in das Zivilleben helfen. Die Pflege der Tradition durch Soldaten- und Reservistenvereine ist weder steuerbegünstigte Brauchtumspflege noch Betreuung von Soldaten und Reservisten i. S. des § 52 Abs. 2 Nr. 23. Die Förderung der Kameradschaft kann neben einem steuerbegünstigten Zweck als Vereinszweck genannt werden, wenn sich aus der Satzung ergibt, dass damit lediglich eine Verbundenheit der Vereinsmitglieder angestrebt wird, die aus der gemeinnützigen Vereinstätigkeit folgt (BFH-Urteil vom 11. 3. 1999 – V R 57, 58/96 – BStBl. II S. 331).";;;WAHR;;;;;;;;;;;;;;;;;;;;;
"die allgemeine Förderung des demokratischen Staatswesens im Geltungsbereich dieses Gesetzes; hierzu gehören nicht Bestrebungen, die nur bestimmte Einzelinteressen staatsbürgerlicher Art verfolgen oder die auf den kommunalpolitischen Bereich beschränkt sind;";Eine steuerbegünstigte allgemeine Förderung des demokratischen Staatswesens ist nur dann gegeben, wenn sich die Körperschaft umfassend mit den demokratischen Grundprinzipien befasst und diese objektiv und neutral würdigt. Ist hingegen Zweck der Körperschaft die politische Bildung, der es auf der Grundlage der Normen und Vorstellungen einer rechtsstaatlichen Demokratie um die Schaffung und Förderung politischer Wahrnehmungsfähigkeit und politischen Verantwortungsbewusstseins geht, liegt Volksbildung vor. Diese muss nicht nur in theoretischer Unterweisung bestehen, sie kann auch durch den Aufruf zu konkreter Handlung ergänzt werden. Keine politische Bildung ist demgegenüber die einseitige Agitation, die unkritische Indoktrination oder die parteipolitisch motivierte Einflussnahme (BFH-Urteil vom 23. 9. 1999, BStBl. II 2000 S. 200).;;;WAHR;;;;;;;;;;;;;;;;;;;;;
die Förderung des bürgerschaftlichen Engagements zugunsten gemeinnütziger, mildtätiger und kirchlicher Zwecke.;Unter den Begriff „bürgerschaftliches Engagement“ versteht man eine freiwillige, nicht auf die Erzielen eines persönlichen materiellen Gewinns gerichtete, auf die Förderung der Allgemeinheit hin orientierte, kooperative Tätigkeit. Die Anerkennung der Förderung des bürgerschaftlichen Engagements zugunsten gemeinnütziger, mildtätiger und kirchlicher Zwecke dient der Hervorhebung der Bedeutung, die ehrenamtlicher Einsatz für unsere Gesellschaft hat. Eine Erweiterung der gemeinnützigen Zwecke ist damit nicht verbunden;;;WAHR;;;;;;;;;;;;;;;;;;;;;
Personen selbstlos zu unterstützen, die infolge ihres körperlichen, geistigen oder seelischen Zustands auf die Hilfe anderer angewiesen sind;;;;WAHR;;;;;;;;;;;;;;;;;;;;;
Personen selbstlos zu unterstützen, deren Bezüge nicht höher sind als das Vierfache des Regelsatzes der Sozialhilfe im Sinne des § 28 des Zwölften Buches Sozialgesetzbuch;"Dies gilt nicht für Personen, deren Vermögen zur nachhaltigen Verbesserung ihres Unterhalts ausreicht und denen zugemutet werden kann, es dafür zu verwenden. Dies gilt nicht für Personen, deren Vermögen zur nachhaltigen Verbesserung ihres Unterhalts ausreicht und denen zugemutet werden kann, es dafür zu verwenden. Bei Personen, deren wirtschaftliche Lage aus besonderen Gründen zu einer Notlage geworden ist, dürfen die Bezüge oder das Vermögen die genannten Grenzen übersteigen. Bezüge im Sinne dieser Vorschrift sind
a)
Einkünfte im Sinne des § 2 Abs. 1 des Einkommensteuergesetzes und
b)
andere zur Bestreitung des Unterhalts bestimmte oder geeignete Bezüge,
aller Haushaltsangehörigen. Zu berücksichtigen sind auch gezahlte und empfangene Unterhaltsleistungen. Die wirtschaftliche Hilfebedürftigkeit im vorstehenden Sinne ist bei Empfängern von Leistungen nach dem Zweiten oder Zwölften Buch Sozialgesetzbuch, des Wohngeldgesetzes, bei Empfängern von Leistungen nach § 27a des Bundesversorgungsgesetzes oder nach § 6a des Bundeskindergeldgesetzes als nachgewiesen anzusehen. Die Körperschaft kann den Nachweis mit Hilfe des jeweiligen Leistungsbescheids, der für den Unterstützungszeitraum maßgeblich ist, oder mit Hilfe der Bestätigung des Sozialleistungsträgers führen. Auf Antrag der Körperschaft kann auf einen Nachweis der wirtschaftlichen Hilfebedürftigkeit verzichtet werden, wenn auf Grund der besonderen Art der gewährten Unterstützungsleistung sichergestellt ist, dass nur wirtschaftlich hilfebedürftige Personen im vorstehenden Sinne unterstützt werden; für den Bescheid über den Nachweisverzicht gilt § 60a Absatz 3 bis 5 entsprechend.";;;WAHR;;;;;;;;;;;;;;;;;;;;;
Tätigkeit darauf gerichtet ist, eine Religionsgemeinschaft, die Körperschaft des öffentlichen Rechts ist, selbstlos zu fördern;Zu diesen Zwecken gehören insbesondere die Errichtung, Ausschmückung und Unterhaltung von Gotteshäusern und kirchlichen Gemeindehäusern, die Abhaltung von Gottesdiensten, die Ausbildung von Geistlichen, die Erteilung von Religionsunterricht, die Beerdigung und die Pflege des Andenkens der Toten, ferner die Verwaltung des Kirchenvermögens, die Besoldung der Geistlichen, Kirchenbeamten und Kirchendiener, die Alters- und Behindertenversorgung für diese Personen und die Versorgung ihrer Witwen und Waisen.;;;WAHR;;;;;;;;;;;;;;;;;;;;;
Negativliste;"Nachbarschaftshilfevereine, Tauschringe und ähnliche Körperschaften, deren Mitglieder kleinere Dienstleistungen verschiedenster Art gegenüber anderen Vereinstmitgliedern erbringen (z. B. kleinere Reparaturen, Hausputz, Kochen, Kinderbetreuung, Nachhilfeunterricht, häusliche Pflege) sind grundsätzlich nicht gemeinnützig, weil regelmäßig durch die gegenseitige Unterstützung in erster Linie eigenwirtschaftliche Interessen ihrer Mitglieder gefördert werden und damit gegen den Grundsatz der Selbstlosigkeit (§ 55 Abs. 1) verstoßen wird. Solche Körperschaften können jedoch gemeinnützig sein, wenn sich ihre Tätigkeit darauf beschränkt, alte und hilfsbedürftige Menschen in Verrichtungen des täglichen Lebens zu unterstützen und damit die Altenhilfe gefördert bzw. mildtätige Zwecke (§ 53) verfolgt werden. Soweit sich der Zweck der Körperschaften zusätzlich auf die Erteilung von Nachhilfeunterricht und Kinderbetreuung erstreckt, können sie auch wegen Förderung der Jugendhilfe anerkannt werden. Voraussetzung für die Anerkennung der Gemeinnützigkeit solcher Körperschaften ist, dass die aktiven Mitglieder ihre Dienstleistungen als Hilfspersonen der Körperschaft (§ 57 Abs. 1 Satz 2) ausüben. Nachbarschaftshilfevereine, Tauschringe und ähnliche Körperschaften, deren Mitglieder kleinere Dienstleistungen verschiedenster Art gegenüber anderen Vereinstmitgliedern erbringen (z. B. kleinere Reparaturen, Hausputz, Kochen, Kinderbetreuung, Nachhilfeunterricht, häusliche Pflege) sind grundsätzlich nicht gemeinnützig, weil regelmäßig durch die gegenseitige Unterstützung in erster Linie eigenwirtschaftliche Interessen ihrer Mitglieder gefördert werden und damit gegen den Grundsatz der Selbstlosigkeit (§ 55 Abs. 1) verstoßen wird. Solche Körperschaften können jedoch gemeinnützig sein, wenn sich ihre Tätigkeit darauf beschränkt, alte und hilfsbedürftige Menschen in Verrichtungen des täglichen Lebens zu unterstützen und damit die Altenhilfe gefördert bzw. mildtätige Zwecke (§ 53) verfolgt werden. Soweit sich der Zweck der Körperschaften zusätzlich auf die Erteilung von Nachhilfeunterricht und Kinderbetreuung erstreckt, können sie auch wegen Förderung der Jugendhilfe anerkannt werden. Voraussetzung für die Anerkennung der Gemeinnützigkeit solcher Körperschaften ist, dass die aktiven Mitglieder ihre Dienstleistungen als Hilfspersonen der Körperschaft (§ 57 Abs. 1 Satz 2) ausüben.
Vereine, deren Zweck die Förderung esoterischer Heilslehren ist, z. B. Reiki-Vereine, können nicht wegen Förderung des öffentlichen Gesundheitswesens oder der öffentlichen Gesundheitspflege als gemeinnützig anerkannt werden

Bei Tier- und Pflanzenzuchtvereinen, Freizeitwinzervereinen sowie Junggesellen- oder Burschenvereinen ist besonders auf die Selbstlosigkeit (§ 55) und die Ausschließlichkeit (§ 56) zu achten. Eine Körperschaft ist z. B. nicht selbstlos tätig, wenn sie in erster Linie eigenwirtschaftliche Zwecke ihrer Mitglieder fördert. Sie verstößt z. B. gegen das Gebot der Ausschließlichkeit, wenn die Durchführung von Festveranstaltungen (z. B. Winzerfest, Maiball) Satzungszweck ist. Bei der Prüfung der tatsächlichen Geschäftsführung von Freizeitwinzer-, Junggesellen- und Burschenvereinen ist außerdem besonders darauf zu achten, dass die Förderung der Geselligkeit nicht im Vordergrund der Vereinstätigkeit steht. 

Einrichtungen, die mit ihrer Tätigkeit auf die Erholung arbeitender Menschen ausgerichtet sind (z. B. der Betrieb von Freizeiteinrichtungen wie Campingplätze oder Bootsverleihe), können nicht als gemeinnützig anerkannt werden, es sei denn, dass das Gewähren von Erholung einem besonders schutzwürdigen Personenkreis (z. B. Kranken oder der Jugend) zugute kommt oder in einer bestimmten Art und Weise (z. B. auf sportlicher Grundlage) vorgenommen wird (BFH-Urteile vom 22. 11. 1972 – I R 21/71 – BStBl. II 1973 S. 251, und vom 30. 9. 1981 – III R 2/80 – BStBl. II 1982 S. 148). Wegen Erholungsheimen wird auf § 68 Nr. 1 Buchstabe a hingewiesen.

Politische Zwecke (Beeinflussung der politischen Meinungsbildung, Förderung politischer Parteien u. dergl.) zählen grundsätzlich nicht zu den gemeinnützigen Zwecken i. S. des § 52.
Eine gewisse Beeinflussung der politischen Meinungsbildung schließt jedoch die Gemeinnützigkeit nicht aus (BFH-Urteil vom 29. 8. 1984 – I R 203/81 – BStBl. II S. 844). Eine politische Tätigkeit ist danach unschädlich für die Gemeinnützigkeit, wenn eine gemeinnützige Tätigkeit nach den Verhältnissen im Einzelfall zwangsläufig mit einer politischen Zielsetzung verbunden ist und die unmittelbare Einwirkung auf die politischen Parteien und die staatliche Willensbildung gegenüber der Förderung des gemeinnützigen Zwecks weit in den Hintergrund tritt. Eine Körperschaft fördert deshalb auch dann ausschließlich ihren steuerbegünstigten Zweck, wenn sie gelegentlich zu tagespolitischen Themen im Rahmen ihres Satzungszwecks Stellung nimmt. Entscheidend ist, dass die Tagespolitik nicht Mittelpunkt der Tätigkeit der Körperschaft ist oder wird, sondern der Vermittlung der steuerbegünstigten Ziele der Körperschaft dient (BFH-Urteil vom 23. 11. 1988 – I R 11/88 BStBl. II 1989 S. 391).
Dagegen ist die Gemeinnützigkeit zu versagen, wenn ein politischer Zweck als alleiniger oder überwiegender Zweck in der Satzung einer Körperschaft festgelegt ist oder die Körperschaft tatsächlich ausschließlich oder überwiegend einen politischen Zweck verfolgt.





";;;FALSCH;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
